comment,labeling
난 연예인들 악플에 시달리는 모든 사람들 사람에 상처받은 사람들에게 꼭 이 글을 전해주고 싶다 진심으로 일단 연예인들은 사랑을 받아 연예인인 것이고 절대 미워하고 싫어하는 사람보단 당신들을 사랑하는 사람들이 훨씬 많다는 걸 알아줬으면 좋겠습니다. 원래 겁 많은 개들이 짖는 거고. 그릇이 간장 종지 만한 것들이 꺼떡 하면 쌈질하는 거라고 어떤 곳에서 그러더군요 다 그 아픔을 알 수 없고. 얼마나 글과 시선과 사람이 사람을 아프게 하는지 체감할 순 없지만. 절대적으로 사랑받는 만큼 제발 목숨을 소중히 해주세요. 그리고 기자들이 반성하길,1
그냥 인터넷에서 글이나 말하는거 보면 진짜 생각없이 반말 찍찍하고 툭툭 내 뱉는 그런 사람들 진짜 많음~밖에 사회 생활은 그렇게 안 하면서 인터넷 세상에서 그런 사람이 진짜 많다는게 큰 문제임!!! 그런 사람들 진짜 문제 많음,1
석천이형도 힘내요. 대한민국 연예계에서 가장 힘들었을 사람 중 하난데 방송 잘 하시는거 보니 좋습니다. 힘냅시다.,1
멋진사람!!당신을 좋아하는 사람이 훨씬 많으니 힘내세요 진리는 저하늘에서 편안하길........아직도 믿기지 않음,1
홍석천은 동성애로 항문성교 하고사는..변태성욕자일 뿐이다.,0
기자들도 한 몫했어. 그냥 인스타그램에 있는 설리 사진 그대로 두면 되는데 노출이 됐다느니 무슨 행동을 했다는 이런 구설수 만들어서 악플러 총 출동하게 만들었잖아. 난 솔직히 나이가 많아서 그냥 어린 친구가 참 당돌하다고 귀엽다고만 느꼈지 그런 기사 볼때마다 힘내라고 응원글 남겨줄걸 무관심 했던게 미안해지네 ㅠ 진짜 우리 모두 반성해야돼,1
뒤에서남욕좀하지마라 지네는뭐가그리잘나가지고그러는지원 ㅡㅡ특히맘충들,0
여기서 갑자기 맘충은 왜 나오니? 길거리에 아이들과 다니는 수많은 엄마들한테는 대놓고 찍소리도 못할 거면서ㅉㅉ 너 같은 놈들 때문에 실명제 해야 한다,0
벌레같은 네 엄마와 모든엄마가 같다고 생각 마. 네 엄마만 맘충이니 복수형은 안되지,0
당사자를 만나야 앞에서 얘기하지 연예인이 만나고 싶다고 아무나 만날 수 있는 사람이냐,1
좇같이생긴 OOO야 막말안하면 안그래도작은고추가 똑 떨어지냐? 6.9소추 역겨운새끼들 살인충들 투신재기해라,0
한남충들 어그로 존나 끄네 정신병자 ㅅㄲ 설리 예은 얼마전까지도 실컷 욕했지 ㅉㅉ 악플러중에 도태남이나 애비충들이 대다수지 뭐 똥차같은 놈들,0
정신나간 페미충 한녀충 워맏충 몇마리 기어 들어왔네 사회악 페기물들,0
한녀충들아 니들때문이다ㅉㅉ 그래도 일부 남자악플러들은 충고식으로 댓글달았지 김치년들은 인신공격 모욕이 기본이었음 ㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉ그래놓고 남자탓하고 쿵쾅이거리냐? 정신병수준,0
개맘충년들. 애똥이나 쳐먹어라,0
이와중에도 서로 무슨 충 무슨 충 하면서 헐뜯는 클라스 대단하다,1
석천이형아는 그래도 좋아하는 사람 많아아요 화이팅,1
sns중독자들 남 보여주기식이지 저게 슬픔을 표현하는 방법이고 애도의 표현이라니..그 슬픈 와중에 핸드폰을 꺼내서 인스타를 들어가서 감성멘트를 타이핑 하고 있는게 자신이 아끼던 사람을 잃은 직후에 하는 행동이라고??ㅋㅋㅋㅋ 말이 안나온다,1
그러게 댓글창을 없애야 된다니까. 구글봐라 댓글창 없으니 서로 댓글로 싸울일도 없고 스트레스 받을일도 없다. 구글이 괜히 세계적인 포털사이트가 된게 아니야,1
풍문으로 들어쇼에 나오는 홍석천도 그닥 좋아보이지는 않던데 연예계 인맥 카르텔로 보임. 주식 사기꾼 이희진도 자기한테 의혹제기 하는 사람들 악플러로 규정하고 고소드립쳤지. 외모 비하등의 일차원적 욕은 악플이지만 연예인의 경솔한 행동과 의혹제기를 악플이라고 하지말아라,1
"언젠가부터 비디오스타 게스트진들이 라스보다 훨씬 급이 높음. 케이블 지상파 차이에, 본가 분가 클라스 차이가 있는데, 이런 결과물들이 자꾸 나오는거 보면 라스 피디 작가진들 존나 무능하지 않나 싶다. 무능한거도 모자라 지들 내보내고 싶은 개듣보 아이돌 꽂아넣는 ""사심""까지 들어가지 않나 싶기도 함",0
한화야 뭐하니? 빨리 외인 3명다 재계약하지 않고?,1
내년에는 10 승대 토종선발투수들 나와 힘 보태주자,1
황재균선수 축하해요~~ 프11에서도 부상없이 파이팅!!!,1
지난 토욜 이태원에서 여자 길에서 졸~ 꼬시고 있던데 황재균,1
레전드 선임할까봐 불안했는데 일단 외국 감독 영입은 괜찮아 보이네.,1
삼) 우린 허... 삼.... 영.... 무슨 메이저 감독과 중딩야구 감독 같네...... 부럽다...,1
설민석은 한국사 가르치지 마라. 한쪽으로 치우친 편향된 교육할꺼면 전공살려서 연기나해라 역겨우니까. 역사교육은 그 누구보다 중립의 입장에서 전달해줘야 한다,0
너무 좋은 프로그램,1
핵노잼;,0
"방탄소년단 지민 보통의 브이로그와 차별성 있는 셀프 영상편집을 통해 1분55초에 불과하지만 다양한 장소, 배경과 의상으로 잠시도 눈을 뗄 수없게 했고 미소년같이 해맑고 행복한 너의 미소에 넘 설레고 행복했어요",1
에프엑스 멤버들도 누가 옆에서 케어해줘야할듯... 다들 잘 추스렸으면..,1
추억다람쥐 우리 방탄소년단 지민이가 매일매일 우리를 녹이고 있어~~~ 우리지민이의 사랑스러움에 녹아내린당^^ 사랑해 지민아~~,1
사랑하는 소중한 정국아~ 정국인 이 세상 보물이야. 정국이로 하여 삶이 행복해졌어. 너무 고마워,1
난 아직도 의문이다.설리가 그렇게 심한 욕과 비난 받을 행동을한것인지.,1
sm도 책임 피할 수 없겠지 악플러들이 sm가수들은 적폐소리 하면서 개패듯 패는 이유가 뭐겠음 소속사에서 악플은 셀럽으로서 겪어야할 과정인거마냥 봐주고 소극적으로 나오니까 그냥 기사만 뜨면 몰려와서 비난하고 패던거 스포츠수준 아니었음?,0
재앙이네,1
매퇘지 불땅해 ㅠ_ㅠ,0
같은 목숨붙은 생명체로 불쌍하네요,1
"ㅇ 좀더 지켜보자구~ 평생 우파쪽에 좀 더 기운 중도였던 울아부지. 뉴스보시다 ""자한당 저 ㅅㄲ들 이젠 안찍어줘~ 해도 어느 정도껏 해야지. 인간같은 것들이 없어..."" 라십니다~~ ㅋㅋㅋ 결국 이런 날이 다오네. 뭐라고 헛소리할 애들 있을 거 아는데 ㅡ 네. 틀니 안끼시구요! 늬들보다 정신 멀쩡하세요! :)",0
인간걸래들이 득실거린 자한당 아무리 빨아도걸래당에 걸래인간들은 변하지 않는다,0
참새가 어찌 봉황의 큰 뜻을 알리요?대갈빠리엔 똥들만 가득찬 광견들인걸...ㅋㅋㅋ 적책도 전략도 없는 꼴통집단 총선 핝일전 추풍낙엽 되어 일본으로 다 쓸려갈텐데 그때까지만 잘 즐겨라~ㅍㅎㅎ,0
좌파들.개거품물고.댑글다네.월래.돼지도죽을적에.소리무척질러돼지.머잘했다고.니들수령북돼지도.요새별로고.머되는게있나.좌파들.서서히.저물어가는.해와갓네,0
다들 한심하다 정말 ...정말 나라를 걱정하는 정치인이 누구인지.... 참참참이다 정말,0
다들 말조심하며 삽시다.,1
"인스타보고 사주는 애들이 돌대가리임, 지들은 싸구려 레깅스나 팔아주고 본인은 샤넬에서마느옷사고 ㅋㅋ",1
힘내세요!! 정태씨!! 꼭 완치 되실꺼예요!! 스크린에서 다시 보는 그날까지 화이팅입니다!!,1
야꿍이 아빠...ㅠ 좋아하는 배운데 갑자기 암판정으로 방송프로 다 하차하는거 보고 너무 걱정됐는데 이렇게 다시보니너무 좋네요....ㅠ,1
"배우 김정태씨, 허지웅작가님, 현재 골육종암 투병중인 배우 김영호씨 모두 건강하게 방송에서 다시 뵙길바랬는데 얼마전에 나혼자산다에 허지웅작가님 나와서 너무 반가웠고 오늘 밥은먹고다니냐에 김정태씨 나와서 너무 좋았고 조만간 김영호씨도 나오시길 기대하겠습니다~대한민국 배우이자 아빠인 당신들을 응원합니다~",1
정내미 떨어질정도 악역 잘하는 배우~ 예능엔 순진한 성격 진짜 연기 오지게 잘하십니다! 응원합니다!,1
장나라 진짜 미모 실화냐.. 뱀파이어급이네.. 미쳤다..,1
드라마가 아니라 계속 영화보는 느낌으로 봤다. 첫회는 쫘악 깔아주고 본격적으로 탑을 쌓아올리는 스타일의 드라마가 볼수록 재밌는 드라마임. 첫회에 제작비 쏟아붓고 팡팡 터지는 드라마는 뒤로 갈수록 별거 없더라. 이번주부터 VIP동백이 할거~~,1
송가인 팬으로 몽이가 송가인의 후광 효과로 음원 싹쓸이등 초대박!! 그러나 욕이란 욕은 몽이 대신 송가인이 방패막이로 먹고 있다. 계약기간 끝나는대로 다른 소속사로 옮기세요. 사장인가 대표라는 자가 글러먹었음. 소속 연예인 장래를 생각하기 보다는 자기 인맥 관리와 돈벌이에만 신경 쓰는 걸 보니 영 아니니 그런데는 오래 있어봐야 꽝이니 생각 잘하시길...;;,1
빅뱅팬들 참 웃기네.. 남자만 욕할거라는 착각을 단단히 하고있어 아주ㅋㅋㅋㅋ미쳐도 뭔 저런 볼만한 쌍판도 없는 버닝썬그룹에 미쳐서는ㅉㅉ,0
"진짜 애는 군생활 휴가, 훈련,복무실태 등조사해볼 필요가 있는거 같다. 싸이처럼.ㅅㅂ 저게 무슨 나라지키는 군인자세냐,,양아치ㅅㄲ지. 마약으로 말도 많고 팀원은 버닝썬등으로 나라를 뒤흔들어 놓고죄송하단 말한마디 없이 본업에 열심히 임하겠다? 그리고 이 모습을 보고 환호하는 개돼지 개념없는 년들아.. 니들때문에 나라의 근본이 흔들린다",0
"군대간게 아무리 조'""깥아도 간김에 아니 제대할때는 그래도 복장하고 경례는 똑바로하지 그랬냐.... 그래야 니 이미지도 좋아지자나..... 생각이란게 없고 겉멋만 잔득든놈 같음",0
아무리 전역해서 개판치고 다닐거지만 그래도 경례 만큼은 정식으로 했었어야지 .앞날 안봐도 대충 알겠다,1
국방의 의무는 국민의 의무 중 하나이고 그걸 당당하게 마친 사람들이 저런 경례를 보고 지적할 수도 있는 거 아닌가... 지적한다고 남자들 욕하는 여자들... 같은 여자로서 좀 부끄러움... 제발 자기네 오빠 욕먹는 다고 앞뒤 안가리고 편드는 짓은 좀 유치함.. 경례는 군인에게 있어서 인사나 다름없음.,1
기레기 셔터가 한번만 눌리겠냐? 타이밍 탓하는 쿵쾅이들 보소 ㅋㅋ,0
참 이나라는 답이없네 아무리 범죄를 저질러도 저렇게 자기편이 있다생각하면 반성이라는걸 하겠냐구~죄를저질러도 돈벌어다주는 저런 개돼지들이 있는데 ㅉㅉㅊ,0
저런 개돼지들때문에 괴물들이 나오는거지,0
"이해불가,,,",1
저기간사람들 호주머니에서 나온돈으로 마약하고 도박하고 그런거 맞죠??,1
마자요 저기모인 정신나간 ㄴ들 주머니돈으로 마약빨고 도박하고 성접대하고 그래도 정신못차리는 멍청한ㄴ들,0
카나비 선수 보호안하는 구단이 선수 보호 위해 악플러 ㅋㅋㅋㅋ,1
정당한 팬들의 질책은 받아들이시고 도넘은 쓰레기들은 반드시 고소하시는게 맞다고 봅니다 합의는 절대 해주지 맙시다 악플러들 정신 차려애 합니다 몇백을 내봐야 압니다,1
씨맥도 분란을 너무 만듬 지말로는 선수들 위한다는데 개소리지,0
충//비영싀나 바로윗사람이 이상한새끼여봤자 소드처럼 찌르는 놈이 상OOO이면 그냥 웃음거리고 아무도 신경안쓰고 찌른놈만 바로 아웃이지. 예를 들어도 개ㅈ같이드는구나. 뇌가 없냐?,0
ㅅㅂ 그만큼 못했다는건데 진지빨고 그건 좀.. ㅇㅈㄹ,0
1세트는내가 안봐서 모르겠지만 1세트부터 4:4를하든 뭘하든 유리한데 탑짤리고 라인전부터 계속쳐발리고 케일잡아도 지고 케일줘도 지고 탑끼고 5:5하면 지는거보면서 오른이 되라는 말을한 검은 꼬장꼬장한 꼰대오른이 되서 엉덩이 무거워서 계속앉아있었나봄.. 진짜 오른이였으면 자리비켜줬을텐데 역겨운 오른이 됐네 ㅋ,0
씨맥. 당신이 옳았습니다. 탑차이와 밴픽으로 젔네. 씨맥있었으면 이겼다.,1
아니 비선실세직 하려면 칸 너구리 기인만큼이라도 하고 나대던가 ㅋㅋㅋ 소드 때문에 IG 응원하다가 마지막 경기 끝나고 쵸비가 소드 쪽 보면서 뭐라 하지도 못하고 아쉬운 표정만 짓는거 보니 불쌍하기까지 하더라 ㅎㄷㄷ 나같으면 3경기부터는 자진해서 도란보고 나가라고 햇겟다 양심이 잇냐,1
농담으로도 빛규남 소리 나오는거 개 역겨웠는데 이번경기는 진짜 사이다 원샷했다,1
"씨맥의 그리핀에 대한 애착이 잘 보이네. 그렇게 애정하던 팀이 롤드컵 우승도 바라보던 팀이 규남이와 소드땜에 롤드컵 8강따리밖에 못했고, 특히 어제 ig와의 경기는 탑이 1인분만해도 ig 3:0으로 발라버릴 수준이었는데 탑이 개같이 못해서 나머지 4명이 피해보는걸 보고있자니 진짜 피눈물났을듯.조규남은 씨맥한테 가장 큰 엿을 먹이려고 씨맥의 인생의 목표와도 같던 롤든컵 직전 짤랐고. 뭐 카나비한테 미성년자상대로 범죄저지른거며 정말 규남성원커플은 제대로 벌받아야한다고 본다. 특히 규남이는 감방 제대로 가야한다",1
소드도 소드인데 그리핀은 다전제의 포인트인 피드백을 전혀 할 마음이 없음. 1-1경기 저렇게 됐음 탑은 이미 나간거라 5밴때리고 탱커 시킨담 쵸비한테 칼을 쥐어주면서 타잔한테 힘을 실어줘야하는데 1-4경기 똑같은 방법으로 계속 몰락. 진짜 이팀은 심각해. 루키는 6개월동안 안해봤다던 미드아트 꺼내는 발상을 하는데 그리핀은 피드백 자체가 없는팀임.,1
아진짜 속이다시원하다 1부에서 처올려준 씨맥버리더니 ㅋㅋㅋㅋ 8강딱 ㄱㅇㄷ ㅋㅋㅋ 한국팀이지는데 기분 줫나 좋네 ㅋㅋ,1
도란 안나오면 ㅅㅂ 그냥 그리핀 해체해라 ㅈ규남 OOO야,0
솔직히 소드랑 더샤이랑 챔프 바뀌면 초반에 제이스로 케일 숨도 못쉬게 만들듯ㅋㅋㅋㅋㅋㅋㅋ 소드는 겨우cs 앞서는걸로 만족하는 수준이넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
씨맥말이맞았네 소드대신 도란키워서 롤드컵가야한다했는데 틀린말하나없었음 ㅋㅋㅋㅋㅋ 실력은없어도 정치는잘해서 롤드컵뛰고있는거지 지금씨맥이감독이였으면 도란이선발이였다,1
조씨만 까라 새끼들아 선수들 욕하는건 니들도 그들처럼 똑같은 짓 하는거야 전후사정없이 이미 피해입은 선수들한테 1차가해 가하는거라고,0
그리핀은 그냥 다전제를 드럽게못한다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 지금까지 다전제 전패아님???ㅋㅋㅋㅋㅋㅋㅋ 1세트 누가봐도 아닌 오만픽하다 진다음 멘탈은 또 드럽게 약해서 그이후로 그냥 자신감떨어져서 운영이나 컨트롤 흔들려서 떡관광 ㅋㅋㅋㅋㅋㅋ 4번연속 똑같은 패턴 그냥 헤엄쳐서 귀국해라 탑ㅅㄲ는 버리고,0
언제쯤 심판은 제대로할 것인가. 과오를 인정할 것인가. 사람이기에 실수하는건 아는데 너무많다. 스트존도 둘쭉날쭉이 일상이고,1
특히 이승엽은 도대체 왜 나오는지 알수가 없다. 내가해도 너보단 잘하겠다. 니가 한번 니 방송 처음부터 함 들어봐라 이**야,0
그럼 느그 쥐새끼들이 종신계약해 괜히 시장에 풀어서 “똥(설사)”물 만들지말고 ㅎㅎ,0
"오지환씨 이참에 FA미아돼서 은퇴하셨으면 좋겠습니다.돈버는데 지장될까봐 악플러들 고소하신다던데 악플도 있지만 9개구단 팬들과 그밖의 사람들이 이렇게 싫어하는경우는 잘없지 않습니까?이유가 있고 뭔가 잘못됐으니까 사람들이 이러는거 아니겠습니까? 참 야구보기도 싫습니다.이분때문에.아, 한분 더 때문에.",1
오지배 보다 실력 성적 더 족가튼데 은근슬쩍 국대가고 군대 안가고 묻혀서 욕도 안먹고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이딴게 주장인 팀??? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
이샏기 싫어서 김헌곤 중견수에다가 이성규나 이성곤 좌익수 바라고 있었는데 주장? 어휴 억장이 무너진다,0
Kt처럼 경기전 발표해서 타팀 분위기 개씹.창낸거보다 롯데 대처가 훨씬 나은데,0
기자 ㅅ 키 야구팬들을 핫바지로 보나. 어떡하든 깔라고 눈이 뻘개가지고 달려드는 좀비 ㅅ 키들 같다. 기자충들은 당장 명함 찢어버려라. 쪽팔리지도 않더냐. 퉤,0
두산은 두번이나 당했다 한사람도아닌 한꺼번에 두세명씩 델고 가는 모습 그래도 허코치 혼자갔다면 다행,1
수석 코치가 딴 팀 간다고 코시 대충 뛰냐? 무슨 분위기 타령이냐. 게다가 올 겨울 키움의 많은 선수들이 탈 키움을 꿈꾸고 있을텐데 웬 배신자 거짓말쟁이 프레임이냐. 몇 명이나 키움 떠나나 보자. 오히려 코시에 영향 주지 않으려고 발표도 코시 끝날 때까지 미루고 허문회 본인도 떠벌이지 않았는데. 막돼먹은 기자가 지한테 미리 알려주지 않았다고 뿔따구 난 모양이구만. 미리 알려줬으면 미리 떠벌여서 분위기 망칠 건 기자였을걸?,1
ㅈㄹ하지 마세요. 기사 쓸 건 수 생겨서 억지로 기사쓰니 좋아? 공개했으면 ‘잔치기간 중 뭐하는 짓인가?’로 제목 뽑았을 거잖아. 일반직장이건 야구판이건 이직 당사자는 최대한 비밀 지켜야하는 게 정상이라고. 사람 일 모르는 건데 동네 방네 나 옮길 수도 있다고 본인이나 이직 회사가 떠들고 다니는 거 봤어?기자 너도 잘 알잖아? 회사 안 옮겨 봤어?,0
특종 놓치니 ㅈㄹ 임 이 기래기들은 ㅋㅋㅋ,0
그만 하라는 분들 좀 보시오. 왜 공감은 못 얻는가?? 이 사람이 정녕 10년을 자숙했는가?? 방송에만 안나왔지 관련활동은 다 하고 다녔소. 그리고 가수더러 음악하지 말라고 ? 이 사람은 군 문재 터질 때 예능활동만 주구 장창 하던 사람이었소 갑자기 음악인 만들지 말길. 가장 큰 문제는 대중의 인기가 컸던 만큼 배신감도 컸을 것인데 제대로 된 해명조차 안하고 억울하다는 소리만 했으니 욕을 얻어 먹는거요. 군부심?? 헌법?? 군대도 기피한 놈이 무슨 책임감이 있겠으며 무슨 자격으로 헌법상 국민에게 주어지는 권리를 바득바득 다 누려,1
주접그만싸고 입대해! 그럼 니 진정성 믿어줄라니깐! 왜케 강냉이도 없으면서 아가리 터냐!,0
이새낀 갈수롯 유인원이 되가노ㄷㄷ,0
피해자에게도 산건 발생에 상당한 책임이 있다 말이야 방구야...,1
"한남충들 양심없냐? 왜 남자랑 여자랑 동일선상에서 비교함? 맨날 범죄 저지르는 한남충이랑 어쩌다가 범죄 저지르는 여자랑 그럼 같이 대우하리? 이별살인, 데이트폭력, 몰카, 성희롱 저지르는 한남충이랑 당연히 대우가 달라야지; 맨날 성별을 바꾸래 ㅋㅋ 한남충들은",0
남자 연예인들 성범죄 의심만 들어도 얼굴공개하며 난리치면서 왜 여배우는 꽁꽁 숨겨줘? 이런 범죄를 저질렀는데도 여자니까 보호해 줘야 하나? 왜? 그래도 시집은 보내야 해서? ㅈㄹ,0
기자야 이름 밝혀라 저런 범죄자를 그냥 놔두고 배우활동 계속하게하냐,1
얘는 완전 상습범이고 벌금형을받앗는데도 집유? 이게나라냐 연에인들은 더럽게도 구속되기힘들고마 반면 서민들은 바로구속때림 판사실화냐?,1
니들양@아@치새@끼들이 오토바이타고 다니면서 길쳐막고 우르르다니면서 행패부린게 니들이다 뭘알고 상관이냐 지껄이냐 OOO,0
중딩이 풀발기하네 ㅋㅋㅋ 어른대접받고 싶어?ㅋㅋ,0
오토바이 운전자의 잘못 여부를 먼저 봐야함. CCTV같은 거 있는지 조사 철저히 했으면 좋겠다.나도 이전 울산 출장 갔을때 편도 1차선 도로의 1차로에 주차된 차를 피해 4거리에서 우회전하려는 순간 오른팔꿈치 손목까지 기브스한 고등학생이 1차선 오른쪽 그틈으로 파고들어 내 SUV 우측 뒷문짝 후방 뒷바퀴 휀더를 박았다. 그런데 결과는 내가 9 그놈이 1.경찰서에서 내린 판결인데 내가 외지인이다 보니 된통 덮어쓴 거였음. 경찰쇅이 내 차 박은 위치로 봤을때 그냥 9:1할 수는 없으니 우회전 차로 위반이라며 십대중과실 위반이라,1
했는데 그 갓길차를 두고 무슨 1차로에서 우회전을 안했다고 10대중과실 까지 덮어 씌웠는지 열받아 난동피우니 공무집행 방해죄까지 추가하겠냐며 협박. 손해사정사도 내편이었는데 어쩔 수 없었다.,1
"좌회전이 불법이냐???!! 면허증없는 머저리들아 ,,, 출구는좌회전이 없다고말한애는 유턴하는법을모르는 닝겐???!?",0
와서 사과도 안 하냐는 인간들.. 막상 가면 니가 여길 왜 오냐며 멱살 잡겠지..,1
"누구의 잘잘못을 떠나 배달업체에서 일을하던 17살짜리 소년이 죽음이 너무나 마음이 아프다. 어린나이에 용돈이든 생활비든, 그까짓 돈 벌겠다고 시작한 일에 앞으로 어떤 미래가 펼쳐져 있을지 아무도 몰랐을 꽃같은 생명이 던져진것이 너무나 마음이 아프다.",1
정시가 가장 공평함. 수시로인한 부작용보다 정시로인한 부작용이 더 적음.,1
와.. 지금 유튜브와 다른 곳은 계엄령 문건으로 발칵 뒤집혔는데 지금 네이버 타이틀 뉴스 첫번째는 이 기사네? 역시 일베네이년! ㅉㅉ,0
당연히 정시가 비중이 높아야지,1
"아 임기 1년반남았는데 그냥 조용히 좀 있다가 떠나시면 안되나, 매사에 손대는거 마다 폭망시키면서 교육계도 들어먹으려고 하시네.",1
여자가봐도 좀 민망한 건 사실임. 위에 긴티입으면 상관없음,1
쳐다보라구 입고다니는데 보는건 뭐가 문제임?,1
레깅스입고 돌아다니는 여자들 중 정상적인 여자 별로 없음. 대부분 빡대가리들임.,0
자전거나 마라톤하는 남자들 타이즈 입는거갖고 포춘쿠키니 뭐니 하면서 불쾌하다고 ㅈㄹㅈㄹ하는 여자들은 어디갔나요. 오늘도 여로남불! 남자가 핫팬츠를 입든지 말든지 그걸 또 찍어서 인터넷에 올려 조리돌림하는 그 성별!,0
"솔직히 여자가 봐도 민망함.자기만족도,타인을 배려하면서 ,하셔요.결코,아름답지는 않아요.",1
난 레깅스 입고다니면 어때했는데 밥먹으러갓다 블라우스에 레깅스입고잇는여자 지혼자 자신감 쩌는여자를보고 생각했다. 미ㅡ췬.년 진짜 흉측하더라,0
조현천. 자살 당하기전에. 빨리. 신속하게 살려서. 잡아오랏 윤석렬.!!!,1
저새낀 박찬주한테 존나 처맞아야함 ㅋㅋ,0
개검 알바들 많내 ㅋㅋㅋㅋ,0
저 게이 생긴거 봐라.ㅋㅋ호빠 고영태 국민사기녀 윤지오 게이미필 임태훈...좌좀달창들의 우상이자 어벤져스 ㅋㅋㅋㅋ,0
"뭐, 이런 량깔치 같은 넘이 뭐 군인인권센타 소장 임재훈, 참 인물이 없네, 이런 량깔봇 구넝에서 빠진 넘 같은게, 뭐 군인권센타 장이라고, 문좌빨이 무식, 무능하니, 그 쫄따구 또한 같구나, ㄴ무능한 정권,,,",0
떡검은 김학의 때도 저랬지. 추론만으로는 기소할 수 없다고. 애초에 동영상이 있건 계엄령 문건이 있던 다 필요없는 거였다. 특검 받고 따블로 공수처 가야 한다.,0
잊을만 하면나오는 이얼굴누가좀 데려가라 쫌군대안갔다온애들 말은 듣기가 싫다,1
저런 것을 믿을 수가 있어야지,1
특검들어가자,1
돈주고 시민단체 유지시키는 일은 없었으면 한다.,1
똥립운동중입니다~~ 똥립운동,0
헐~자격부터 안되는 인물이 무슨 ~~,1
떵꼬충들 박멸시켜라,0
진짜 좌파들은 가짜뉴스가 패시브여,1
저 게이색히는 저기서 뭐하냐 ㅋㅋㅋㅋ,0
"두드러기 인간과 똥검의 합작, 조원천 소환하면 황교활 낙동강 오리알.",0
저런 기본 의무조차도 이행하지 않는 거지같은 게이새끼들이 나서서 나라를 유린하는데도먹히는 세상이라니ㅋㅋㅋㅋㅋㅋ,0
쌍빤때기 더럽게 생겨 먹었네 ㅡㅡ얼빠진것들,0
문재앙 정권에서나 벌어지는 더럽고 추잡한 현상! 저 동성연애하는 새캬가 군인권센터소장이란다! 항문성교하라고 군대에 전파하는 새캬 아니야? 아 추접스런 정권!,0
조씨부터 잡아들여라,1
조국 가족을 의혹만으로 압색 해놓고?이런 내로남불이 어딨냐 검찰아?배댓 꼬라지들 봐라무려 계엄령 문건인데 저딴 소리들이 나오냐?,1
그래도 제정신 가지신 정상적인 여성분들 덕분에 세상이 굴러간다. 암퇘지 워마드만 보다가 정상적인 여성분을 보니 참으로 반갑구만,0
같은 여자가 봐도 이해가 안된다는데 남자가 보면 어떤 생각들겠냐 인도보다 대한민국이 여성평등지수 낮다고 생각하는 자칭 페미 정신나간 년님들아?,0
사이버 모욕죄는 개정될 필요가 있다. 사실적시에 의한 명예훼손...ㅋㅋㅋㅋㅋ이게 도대체 뭔 말도 안되는 법인지 모르겠네.,1
돈많은 부모 잘만나서 호강하는거지뭐...,1
니가 열심해 해서 니 자식은 돈 많은 부모 만나게 해줄 생각은 못하니?,1
영유아 발달과 보육을 배우는 사람으로써 장담하는데 5살아이에게 머리가 좋다는 이유만으로 이렇게 한다는건 결코 아이에게 좋은것이 아니고 부모에게만 좋은것이다 우리과 교수님도 그렇게 말씀하시는데...,1
"지디 고생했다. 갔다왔는데도 지라알들 ㅉ 안가도 욕, 가도욕! 쫌생이들.",0
지디가 도대체 군대에서 놀다왔다는 근거가 어딨는데요? 지디 동기나 선후임들 썰이 있어요? 아니잖아요 군대 내 목격담이라곤 같은 출신 주원이 칭찬했던거랑 최근에 제대 전에 부대에서 자살예방교육 강사 활동하고 있다는 것밖에 없는데요? 같이 군생활해서 그 모습 잘 아는거 아니면 뇌피셜로 지디 그만 까세요. 당신들이 생각없이 쓰는 악플들이 누군가를 죽일 수 있는 칼이 된다는 걸 좀 인지하세요.,1
관심을주지마 개돼지되는거임 ㅋ ㅈㄴ 마약에 특혜에 ㅉ,0
이자식이랑 같은 부대 병사들은 얼마나 ㅈ 같았을까..캠프도 못 받겠다고 징징거리던 생퀸데,0
대가리가진짜 멍청한건지 제대로 관종인지...그냥조용히닥치고있다가 컴백을하던 뭘하면되는데..왜 스스로 논란을 키우고 욕쳐먹는건지..,0
우와... 그따위로 군생활하고 꼴에 군부심은 생겼나봄ㅋ ... 보통 저렇게 군생활하면 쪽팔려서 이야기해도 피할려고할텐데ㅋ ... 역스 스웩ㅋ 예능나와서 군생활 이야기 좀해봐라ㅋ,1
확실히 빅뱅은 양심 죄책감 부끄러움 이런 감정하곤 담 쌓은 애들인 것 같다...아마 어떤 잘못을 해도 처벌받지 않는다는 자신감일지 모르지. 변호사와 돈은 항상 자신들을 지켜줄 것이고 회사와 충성스런 팬들은 그 돈을 채워주는 금고이자 자신의 든든한 방패니까.,1
미친거아님?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
꼴값 좀 그만 떨어라 ㅋㅋ 군생활 태반이 병원생활에 특박에 외박에 휴가인넘이 무슨 ㅋㅋㅋ 같이 군생활 한 부대원들에게 안쪽팔리냐? ㅋㅋㅋㅋ,0
